image_id,split,label,label_id,source_dataset,source_version,source_original_split,source_original_label,source_project_relative_path,source_dataset_relative_path,selected_relative_path,source_sha256,copied_sha256,selection_rank,file_size_bytes,width,height,mode,format
cifake_v3_train_real_0001,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/3548 (3).jpg,train/REAL/3548 (3).jpg,data/raw/prototype/real/cifake_v3_train_real_0001.jpg,5a2d6ff388c3132f65283e7a1e4e3b11ede1b5245246a99f7ec233efa1c7d767,5a2d6ff388c3132f65283e7a1e4e3b11ede1b5245246a99f7ec233efa1c7d767,0000ad99ab3503b946f5b5e6058f15722bd570045172bbc9970ea63759bf9927,915,32,32,RGB,JPEG
cifake_v3_train_real_0002,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/4903 (6).jpg,train/REAL/4903 (6).jpg,data/raw/prototype/real/cifake_v3_train_real_0002.jpg,53159629e3154766d6449e5db348506ba3d718e93c92e52f22b1783e8963df1a,53159629e3154766d6449e5db348506ba3d718e93c92e52f22b1783e8963df1a,0000b0d67859dcba65aaa682198a4ceeae4ae529f07b9edb5219527e86f38ae6,923,32,32,RGB,JPEG
cifake_v3_train_real_0003,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/2431 (6).jpg,train/REAL/2431 (6).jpg,data/raw/prototype/real/cifake_v3_train_real_0003.jpg,c386435c81c73589e1c0afe3287cc8a0da9176f71b2d66a7d20a75a9410abfa9,c386435c81c73589e1c0afe3287cc8a0da9176f71b2d66a7d20a75a9410abfa9,0002143244bd084239d9c64862f6b583147ca8bae7ab3b71c47d44056a8d72cd,922,32,32,RGB,JPEG
cifake_v3_train_real_0004,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/3632 (5).jpg,train/REAL/3632 (5).jpg,data/raw/prototype/real/cifake_v3_train_real_0004.jpg,0dbe61b30c26873489e93ea17ea1cea1f7694188e6b1bffea4e548f176476acd,0dbe61b30c26873489e93ea17ea1cea1f7694188e6b1bffea4e548f176476acd,000456a5d5690fa975ee1bc1beadcbfebeab814c2fdf79f9f75d2a6c13cb290c,898,32,32,RGB,JPEG
cifake_v3_train_real_0005,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/0429 (3).jpg,train/REAL/0429 (3).jpg,data/raw/prototype/real/cifake_v3_train_real_0005.jpg,62d37025a1206713387f01e0b69f3cf2c02a1eface4748a3efc18b384bfd193b,62d37025a1206713387f01e0b69f3cf2c02a1eface4748a3efc18b384bfd193b,0005bfb0d0d2f94d0f6e4d11e42af7d2c7af4dddf0beba730816b00930ca50fe,866,32,32,RGB,JPEG
cifake_v3_train_real_0006,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/4988 (6).jpg,train/REAL/4988 (6).jpg,data/raw/prototype/real/cifake_v3_train_real_0006.jpg,70baa892aedcb591c5bd501eeba93aa6647827a207b5bf6f9611bc1be1ddbef2,70baa892aedcb591c5bd501eeba93aa6647827a207b5bf6f9611bc1be1ddbef2,00074fd215b23828b2e9e64e9f14277106146c372c498232cdba7dcb5870df95,905,32,32,RGB,JPEG
cifake_v3_train_real_0007,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/0614 (3).jpg,train/REAL/0614 (3).jpg,data/raw/prototype/real/cifake_v3_train_real_0007.jpg,b5d8e56e6f346dc936191c7dbdb2c4292cadbcf663dc9624eecabfec904b43e6,b5d8e56e6f346dc936191c7dbdb2c4292cadbcf663dc9624eecabfec904b43e6,000b4e7fd6179f9facacadb93035fc7a629fae0cddce61ce7d9c02e545664c70,970,32,32,RGB,JPEG
cifake_v3_train_real_0008,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/0005 (5).jpg,train/REAL/0005 (5).jpg,data/raw/prototype/real/cifake_v3_train_real_0008.jpg,c17c7d246e8b4cf3db72c52db9f861882a0a8a02572b81769d8458c39137c924,c17c7d246e8b4cf3db72c52db9f861882a0a8a02572b81769d8458c39137c924,000bd9898a980ec15cd7ce2b70b8363e23c292792e2bfcddb16d42298dcd7e33,842,32,32,RGB,JPEG
cifake_v3_train_real_0009,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/3102 (2).jpg,train/REAL/3102 (2).jpg,data/raw/prototype/real/cifake_v3_train_real_0009.jpg,2fa438fa4da8317e3e10b58ac7e7a0ef88bf642fd9580fb539dc87106b95b700,2fa438fa4da8317e3e10b58ac7e7a0ef88bf642fd9580fb539dc87106b95b700,000c439df1cfd9934ec28c092bfa803c93e46fb52a757e4a6d2b1dbea6e6e201,925,32,32,RGB,JPEG
cifake_v3_train_real_0010,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/0643 (9).jpg,train/REAL/0643 (9).jpg,data/raw/prototype/real/cifake_v3_train_real_0010.jpg,4115a2f78168c56bdb139d2449a06a4c357082a988458cc65d5eaae0177fa477,4115a2f78168c56bdb139d2449a06a4c357082a988458cc65d5eaae0177fa477,000d43cb4780a49bed1652dd722fd9f6e59b777cdbab0af0696c932a8d6d7746,947,32,32,RGB,JPEG
cifake_v3_train_real_0011,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/1391 (6).jpg,train/REAL/1391 (6).jpg,data/raw/prototype/real/cifake_v3_train_real_0011.jpg,ce015a94ecf877694205437c9e8835827475cef4032c91d1baadc0a999d64619,ce015a94ecf877694205437c9e8835827475cef4032c91d1baadc0a999d64619,000e2f53f624fcdaed47089a2d6bdac4186e090dedd68f1e702bfeff3a7237f5,893,32,32,RGB,JPEG
cifake_v3_train_real_0012,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/1459 (4).jpg,train/REAL/1459 (4).jpg,data/raw/prototype/real/cifake_v3_train_real_0012.jpg,17c031cbd2f3f0504fcf5bf435df38ec37b9a31d5ed4c614f4e778e28d535b5a,17c031cbd2f3f0504fcf5bf435df38ec37b9a31d5ed4c614f4e778e28d535b5a,000e93b8124c39f4d530e709aca868381a8747e1b4d47ec084215fdc7d0c3cb1,957,32,32,RGB,JPEG
cifake_v3_train_real_0013,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/3654 (7).jpg,train/REAL/3654 (7).jpg,data/raw/prototype/real/cifake_v3_train_real_0013.jpg,92edec7a1c9c80bff5cdee142d108bbf683daf5543240b05890678082f77ae17,92edec7a1c9c80bff5cdee142d108bbf683daf5543240b05890678082f77ae17,000ece92fbb265f3cac068dba04685a26b0fe3e1ea57e48245fc9c7139753150,1017,32,32,RGB,JPEG
cifake_v3_train_real_0014,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/4067 (4).jpg,train/REAL/4067 (4).jpg,data/raw/prototype/real/cifake_v3_train_real_0014.jpg,60a8dcbcc2e0669b06a726c2c2ed9941876dc31e613075c70f41e677f6683654,60a8dcbcc2e0669b06a726c2c2ed9941876dc31e613075c70f41e677f6683654,000f45cd4590e081661fd8e3ac2664d0cfef1762336d0295664801b62a306e15,934,32,32,RGB,JPEG
cifake_v3_train_real_0015,train,real,0,CIFAKE,3,train,real,data/interim/cifake_source_v3/train/REAL/3907 (8).jpg,train/REAL/3907 (8).jpg,data/raw/prototype/real/cifake_v3_train_real_0015.jpg,c80ae2f6e3b89bf57bd658513c5321852b80cd374a02de2f3c175eebae096486,c80ae2f6e3b89bf57bd658513c5321852b80cd374a02de2f3c175eebae096486,001085b0723e2bdb9c881d6a480465275059db60b273cfaf6410130245cdde8a,937,32,32,RGB,JPEG
